seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr3	39448221	39448374	154	*	X02270	3921	39448204	39454032	5829	+	0	inside	16	RPSA
chr3	39448221	39448374	154	*	X02270	574040	39449882	39450030	149	+	1507	upstream	1507	SNORA6
chr3	39851065	39851163	99	*	X02271	25924	39851303	40301811	450509	+	139	upstream	139	MYRIP
chr3	39851443	39851462	20	*	X02272	25924	39851303	40301811	450509	+	0	inside	139	MYRIP
chr3	40350950	40351051	102	*	X02273	10289	40351173	40353915	2743	+	121	upstream	121	EIF1B
chr3	40350950	40351051	102	*	X02273	440952	40214638	40351189	136552	-	0	inside	137	EIF1B-AS1
chr3	40351183	40351335	153	*	X02274	10289	40351173	40353915	2743	+	0	inside	9	EIF1B
chr3	40351183	40351335	153	*	X02274	440952	40214638	40351189	136552	-	0	overlapStart	0	EIF1B-AS1
chr3	40351392	40351426	35	*	X02275	10289	40351173	40353915	2743	+	0	inside	218	EIF1B
chr3	40351392	40351426	35	*	X02275	440952	40214638	40351189	136552	-	202	upstream	202	EIF1B-AS1
chr3	40498567	40498746	180	*	X02276	9045	40498783	40503863	5081	+	36	upstream	36	RPL14
chr3	40566180	40566624	445	*	X02277	285268	40566376	40581043	14668	+	0	overlapStart	0	ZNF621
chr3	42003497	42003779	283	*	X02280	54986	41288090	42003660	715571	-	0	overlapStart	0	ULK4
chr3	42642148	42642313	166	*	X02284	4820	42642147	42690233	48087	+	0	inside	0	NKTR
chr3	42642148	42642313	166	*	X02284	9117	42589459	42642572	53114	-	0	inside	258	SEC22C
chr3	42845890	42845995	106	*	X02285	1238	42846246	42941826	95581	+	250	upstream	250	ACKR2
chr3	42845890	42845995	106	*	X02285	25994	42824400	42846027	21628	-	0	inside	31	HIGD1A
chr3	43147738	43147754	17	*	X02286	84892	43120721	43147575	26855	-	162	upstream	162	POMGNT2
chr3	43328121	43328183	63	*	X02287	54861	43328004	43392634	64631	+	0	inside	116	SNRK
chr3	43732170	43732382	213	*	X02288	51099	43732375	43764217	31843	+	0	overlapStart	0	ABHD5
chr3	43732431	43732724	294	*	X02289	51099	43732375	43764217	31843	+	0	inside	55	ABHD5
chr3	44379685	44379755	71	*	X02291	285343	44379611	44450940	71330	+	0	inside	73	TCAIM
chr3	44379775	44379797	23	*	X02292	285343	44379611	44450940	71330	+	0	inside	163	TCAIM
chr3	44666462	44666657	196	*	X02295	10168	44666511	44689963	23453	+	0	overlapStart	0	ZNF197
chr3	44690068	44690102	35	*	X02296	7584	44690233	44702283	12051	+	130	upstream	130	ZNF35
chr3	44690135	44690372	238	*	X02297	7584	44690233	44702283	12051	+	0	overlapStart	0	ZNF35
chr3	44803073	44803391	319	*	X02298	56992	44803209	44894748	91540	+	0	overlapStart	0	KIF15
chr3	44803073	44803391	319	*	X02298	57456	44790236	44803173	12938	-	0	overlapStart	0	KIAA1143
chr3	44803487	44803519	33	*	X02299	56992	44803209	44894748	91540	+	0	inside	277	KIF15
chr3	44803487	44803519	33	*	X02299	57456	44790236	44803173	12938	-	313	upstream	313	KIAA1143
chr3	44803551	44803626	76	*	X02300	57456	44790236	44803173	12938	-	377	upstream	377	KIAA1143
chr3	45017911	45017921	11	*	X02301	51304	44956753	45017674	60922	-	236	upstream	236	ZDHHC3
chr3	45187783	45187966	184	*	X02302	64866	45123769	45187914	64146	-	0	overlapStart	0	CDCP1
chr3	45429916	45430210	295	*	X02305	23395	45430075	45590328	160254	+	0	overlapStart	0	LARS2
chr3	45635624	45635949	326	*	X02306	8994	45636323	45722755	86433	+	373	upstream	373	LIMD1
chr3	45730283	45730329	47	*	X02307	22908	45730754	45786900	56147	+	424	upstream	424	SACM1L
chr3	45730283	45730329	47	*	X02307	644714	45719657	45730374	10718	-	0	inside	44	LIMD1-AS1
chr3	45730343	45730470	128	*	X02308	22908	45730754	45786900	56147	+	283	upstream	283	SACM1L
chr3	45730343	45730470	128	*	X02308	644714	45719657	45730374	10718	-	0	overlapStart	0	LIMD1-AS1
chr3	45730936	45731047	112	*	X02309	22908	45730754	45786900	56147	+	0	inside	181	SACM1L
chr3	45730936	45731047	112	*	X02309	644714	45719657	45730374	10718	-	561	upstream	561	LIMD1-AS1
chr3	47205023	47205073	51	*	X02312	285352	47205860	47285606	79747	+	786	upstream	786	KIF9-AS1
chr3	47324001	47324128	128	*	X02313	23276	47324330	47388306	63977	+	201	upstream	201	KLHL18
chr3	47324001	47324128	128	*	X02313	64147	47269516	47324337	54822	-	0	inside	208	KIF9
chr3	47324181	47324508	328	*	X02314	23276	47324330	47388306	63977	+	0	overlapStart	0	KLHL18
chr3	47324181	47324508	328	*	X02314	64147	47269516	47324337	54822	-	0	overlapStart	0	KIF9
chr3	47422488	47422613	126	*	X02315	25930	47422491	47454931	32441	+	0	overlapStart	0	PTPN23
chr3	47517292	47517320	29	*	X02316	22937	47455184	47517445	62262	-	0	inside	124	SCAP
chr3	47517342	47517359	18	*	X02317	22937	47455184	47517445	62262	-	0	inside	85	SCAP
chr3	47517535	47517571	37	*	X02318	22937	47455184	47517445	62262	-	89	upstream	89	SCAP
chr3	47823281	47823319	39	*	X02319	6599	47627378	47823596	196219	-	0	inside	276	SMARCC1
chr3	47844463	47844774	312	*	X02320	22907	47844399	47891686	47288	+	0	inside	63	DHX30
chr3	48282534	48282836	303	*	X02324	51385	48282596	48329115	46520	+	0	overlapStart	0	ZNF589
chr3	48342743	48343147	405	*	X02325	10201	48335589	48342886	7298	-	0	overlapStart	0	NME6
chr3	48488409	48488464	56	*	X02326	84126	48488114	48509044	20931	+	0	inside	294	ATRIP
chr3	48723143	48723190	48	*	X02331	51517	48711278	48723334	12057	-	0	inside	143	NCKIPSD
chr3	48723223	48723398	176	*	X02332	51517	48711278	48723334	12057	-	0	overlapStart	0	NCKIPSD
chr3	48754800	48754833	34	*	X02333	51447	48725436	48754920	29485	-	0	inside	86	IP6K2
chr3	48885076	48885337	262	*	X02334	5576	48785218	48885270	100053	-	0	overlapStart	0	PRKAR2A
chr3	49131744	49131775	32	*	X02338	54870	49067142	49131504	64363	-	239	upstream	239	QRICH1
chr3	49131845	49132008	164	*	X02339	54870	49067142	49131504	64363	-	340	upstream	340	QRICH1
chr3	49132073	49132087	15	*	X02340	54870	49067142	49131504	64363	-	568	upstream	568	QRICH1
chr3	49158191	49158222	32	*	X02341	10869	49145479	49158371	12893	-	0	inside	148	USP19
chr3	49171084	49171094	11	*	X02342	3913	49158547	49170599	12053	-	484	upstream	484	LAMB2
chr3	49171107	49171126	20	*	X02343	3913	49158547	49170599	12053	-	507	upstream	507	LAMB2
chr3	49171148	49171190	43	*	X02344	3913	49158547	49170599	12053	-	548	upstream	548	LAMB2
chr3	49203752	49203783	32	*	X02345	64925	49199968	49203785	3818	-	0	inside	1	CCDC71
chr3	49203796	49203816	21	*	X02346	64925	49199968	49203785	3818	-	10	upstream	10	CCDC71
chr3	49377411	49377689	279	*	X02347	7375	49314577	49377536	62960	-	0	overlapStart	0	USP4
chr3	49449874	49449928	55	*	X02348	387	49396579	49449526	52948	-	347	upstream	347	RHOA
chr3	49449874	49449928	55	*	X02348	6988	49449639	49453909	4271	+	0	inside	234	TCTA
chr3	49726848	49727138	291	*	X02350	4485	49721380	49726196	4817	-	651	upstream	651	MST1
chr3	49726848	49727138	291	*	X02350	63891	49726950	49758962	32013	+	0	overlapStart	0	RNF123
chr3	49941189	49941213	25	*	X02351	4486	49924436	49941306	16871	-	0	inside	92	MST1R
chr3	50336599	50336625	27	*	X02355	24142	50333833	50336899	3067	-	0	inside	273	NAA80
chr3	50336599	50336625	27	*	X02355	8372	50330259	50336899	6641	-	0	inside	273	HYAL3
chr3	50336668	50336788	121	*	X02356	24142	50333833	50336899	3067	-	0	inside	110	NAA80
chr3	50336668	50336788	121	*	X02356	8372	50330259	50336899	6641	-	0	inside	110	HYAL3
chr3	50336861	50336877	17	*	X02357	24142	50333833	50336899	3067	-	0	inside	21	NAA80
chr3	50336861	50336877	17	*	X02357	8372	50330259	50336899	6641	-	0	inside	21	HYAL3
chr3	50383106	50383132	27	*	X02362	51364	50378537	50383156	4620	-	0	inside	23	ZMYND10
chr3	50383151	50383200	50	*	X02363	51364	50378537	50383156	4620	-	0	overlapStart	0	ZMYND10
chr3	50388057	50388231	175	*	X02364	10641	50384919	50388486	3568	-	0	inside	254	NPRL2
chr3	50388057	50388231	175	*	X02364	11068	50388297	50391496	3200	+	65	upstream	65	CYB561D2
chr3	50388250	50388284	35	*	X02365	10641	50384919	50388486	3568	-	0	inside	201	NPRL2
chr3	50388250	50388284	35	*	X02365	11068	50388297	50391496	3200	+	12	upstream	12	CYB561D2
chr3	50388309	50388456	148	*	X02366	10641	50384919	50388486	3568	-	0	inside	29	NPRL2
chr3	50388309	50388456	148	*	X02366	11068	50388297	50391496	3200	+	0	inside	11	CYB561D2
chr3	50396851	50396898	48	*	X02367	11070	50392180	50396939	4760	-	0	inside	40	TMEM115
chr3	50396963	50396979	17	*	X02368	11070	50392180	50396939	4760	-	23	upstream	23	TMEM115
chr3	50397005	50397024	20	*	X02369	11070	50392180	50396939	4760	-	65	upstream	65	TMEM115
chr3	50397057	50397129	73	*	X02370	11070	50392180	50396939	4760	-	117	upstream	117	TMEM115
chr3	50606625	50607099	475	*	X02371	51409	50606583	50622421	15839	+	0	inside	41	HEMK1
chr3	50712341	50712396	56	*	X02374	100616138	50712511	50712594	84	+	114	upstream	114	MIR4787
chr3	50712341	50712396	56	*	X02374	1795	50712672	51421629	708958	+	275	upstream	275	DOCK3
chr3	51422750	51422828	79	*	X02375	7873	51422692	51426828	4137	+	0	inside	57	MANF
chr3	51533946	51534072	127	*	X02376	9730	51433298	51534018	100721	-	0	overlapStart	0	DCAF1
chr3	51534252	51534287	36	*	X02377	9730	51433298	51534018	100721	-	233	upstream	233	DCAF1
chr3	51704894	51705406	513	*	X02379	51368	51705191	51738339	33149	+	0	overlapStart	0	TEX264
chr3	51976274	51976303	30	*	X02381	10039	51976361	51982883	6523	+	57	upstream	57	PARP3
chr3	51976274	51976303	30	*	X02381	9136	51967442	51975957	8516	-	316	upstream	316	RRP9
chr3	52009113	52009204	92	*	X02382	100526760	52009042	52023218	14177	+	0	inside	70	ABHD14A-ACY1
chr3	52009113	52009204	92	*	X02382	25864	52009042	52015216	6175	+	0	inside	70	ABHD14A
chr3	52029742	52030164	423	*	X02384	6159	52027644	52029958	2315	-	0	overlapStart	0	RPL29
chr3	52091110	52091228	119	*	X02385	1849	52082937	52090461	7525	-	648	upstream	648	DUSP7
chr3	52091263	52091290	28	*	X02386	1849	52082937	52090461	7525	-	801	upstream	801	DUSP7
chr3	52232089	52232162	74	*	X02387	211	52232099	52248343	16245	+	0	overlapStart	0	ALAS1
chr3	52232205	52232355	151	*	X02388	211	52232099	52248343	16245	+	0	inside	105	ALAS1
chr3	52273029	52273426	398	*	X02389	11344	52262626	52273183	10558	-	0	overlapStart	0	TWF2
chr3	52312328	52312418	91	*	X02392	80335	52288438	52312659	24222	-	0	inside	240	WDR82
chr3	52312521	52312616	96	*	X02393	80335	52288438	52312659	24222	-	0	inside	42	WDR82
chr3	52489604	52489633	30	*	X02394	11188	52489524	52527088	37565	+	0	inside	79	NISCH
chr3	52489604	52489633	30	*	X02394	7134	52485107	52488057	2951	-	1546	upstream	1546	TNNC1
chr3	52489662	52489679	18	*	X02395	11188	52489524	52527088	37565	+	0	inside	137	NISCH
chr3	52489662	52489679	18	*	X02395	7134	52485107	52488057	2951	-	1604	upstream	1604	TNNC1
chr3	52570688	52570719	32	*	X02396	440957	52570621	52574586	3966	+	0	inside	66	SMIM4
chr3	52570688	52570719	32	*	X02396	64943	52558385	52569093	10709	-	1594	upstream	1594	NT5DC2
chr3	52720113	52720115	3	*	X02397	26354	52719936	52728510	8575	+	0	inside	176	GNL3
chr3	52720113	52720115	3	*	X02397	55193	52579368	52719866	140499	-	246	upstream	246	PBRM1
chr3	52720157	52720195	39	*	X02398	26354	52719936	52728510	8575	+	0	inside	220	GNL3
chr3	52720157	52720195	39	*	X02398	55193	52579368	52719866	140499	-	290	upstream	290	PBRM1
chr3	52739641	52740250	610	*	X02399	28972	52739857	52742197	2341	+	0	overlapStart	0	SPCS1
chr3	52739641	52740250	610	*	X02399	55830	52728504	52740048	11545	-	0	overlapStart	0	GLT8D1
chr3	52740388	52740402	15	*	X02400	55830	52728504	52740048	11545	-	339	upstream	339	GLT8D1
chr3	52804896	52805170	275	*	X02401	6787	52744796	52804965	60170	-	0	overlapStart	0	NEK4
chr3	53079961	53080031	71	*	X02402	51460	52937583	53080089	142507	-	0	inside	57	SFMBT1
chr3	53080061	53080160	100	*	X02403	51460	52937583	53080089	142507	-	0	overlapStart	0	SFMBT1
chr3	53080181	53080265	85	*	X02404	51460	52937583	53080089	142507	-	91	upstream	91	SFMBT1
chr3	53080279	53080297	19	*	X02405	51460	52937583	53080089	142507	-	189	upstream	189	SFMBT1
chr3	53080384	53080492	109	*	X02406	51460	52937583	53080089	142507	-	294	upstream	294	SFMBT1
chr3	53381396	53381917	522	*	X02407	55802	53317445	53381654	64210	-	0	overlapStart	0	DCP1A
chr3	53880274	53880449	176	*	X02408	55349	53850324	53880420	30097	-	0	overlapStart	0	CHDH
chr3	53880274	53880449	176	*	X02408	55540	53880577	53899827	19251	+	127	upstream	127	IL17RB
chr3	53915907	53915941	35	*	X02409	93973	53901094	53916229	15136	-	0	inside	287	ACTR8
chr3	53915990	53916380	391	*	X02410	93973	53901094	53916229	15136	-	0	overlapStart	0	ACTR8
chr3	56716890	56717018	129	*	X02413	23272	56654160	56717135	62976	-	0	inside	116	TASOR
chr3	56717072	56717095	24	*	X02414	23272	56654160	56717135	62976	-	0	inside	39	TASOR
chr3	56717342	56717705	364	*	X02415	23272	56654160	56717135	62976	-	206	upstream	206	TASOR
chr3	57542040	57542057	18	*	X02420	201626	57541981	57547768	5788	+	0	inside	58	PDE12
chr3	57542072	57542105	34	*	X02421	201626	57541981	57547768	5788	+	0	inside	90	PDE12
chr3	57583026	57583100	75	*	X02423	378	57557090	57583215	26126	-	0	inside	114	ARF4
chr3	57678733	57678779	47	*	X02424	201627	57611181	57678816	67636	-	0	inside	36	DENND6A
chr3	57678794	57678847	54	*	X02425	201627	57611181	57678816	67636	-	0	overlapStart	0	DENND6A
chr3	57741624	57741928	305	*	X02426	7871	57743174	57914894	171721	+	1245	upstream	1245	SLMAP
chr3	57741955	57742184	230	*	X02427	7871	57743174	57914894	171721	+	989	upstream	989	SLMAP
chr3	58291917	58292107	191	*	X02428	11102	58291972	58305920	13949	+	0	overlapStart	0	RPP14
chr3	58292251	58292262	12	*	X02429	11102	58291972	58305920	13949	+	0	inside	278	RPP14
chr3	58318406	58318797	392	*	X02430	54899	58318617	58410878	92262	+	0	overlapStart	0	PXK
chr3	58419134	58419440	307	*	X02431	5162	58413357	58419579	6223	-	0	inside	138	PDHB
chr3	58419553	58419573	21	*	X02432	5162	58413357	58419579	6223	-	0	inside	5	PDHB
chr3	61547252	61547328	77	*	X02435	5793	61547243	62280573	733331	+	0	inside	8	PTPRG
chr3	62305007	62305377	371	*	X02436	100506994	62247494	62304622	57129	-	384	upstream	384	PTPRG-AS1
chr3	62305007	62305377	371	*	X02436	57415	62304711	62319320	14610	+	0	inside	295	C3orf14
chr3	66024113	66024239	127	*	X02449	9223	65339906	66024509	684604	-	0	inside	269	MAGI1
chr3	66024410	66025026	617	*	X02450	9223	65339906	66024509	684604	-	0	overlapStart	0	MAGI1
chr3	66551259	66551289	31	*	X02451	26018	66429221	66550845	121625	-	413	upstream	413	LRIG1
chr3	67704637	67705185	549	*	X02453	8801	67410884	67705038	294155	-	0	overlapStart	0	SUCLG2
chr3	69062809	69063183	375	*	X02454	285203	69024368	69062774	38407	-	34	upstream	34	EOGT
chr3	69101295	69101379	85	*	X02455	7110	69068978	69101484	32507	-	0	inside	104	TMF1
chr3	69788362	69788712	351	*	X02460	4286	69788586	70017488	228903	+	0	overlapStart	0	MITF
chr3	69788747	69788770	24	*	X02461	4286	69788586	70017488	228903	+	0	inside	160	MITF
chr3	69788789	69788807	19	*	X02462	4286	69788586	70017488	228903	+	0	inside	202	MITF
chr3	69788847	69788960	114	*	X02463	4286	69788586	70017488	228903	+	0	inside	260	MITF
chr3	71632550	71633011	462	*	X02467	27086	71003865	71633140	629276	-	0	inside	128	FOXP1
chr3	72496009	72496021	13	*	X02469	23429	72423744	72495774	72031	-	234	upstream	234	RYBP
chr3	72496063	72496095	33	*	X02470	23429	72423744	72495774	72031	-	288	upstream	288	RYBP
chr3	72496550	72496765	216	*	X02471	23429	72423744	72495774	72031	-	775	upstream	775	RYBP
chr3	72496783	72496806	24	*	X02472	23429	72423744	72495774	72031	-	1008	upstream	1008	RYBP
chr3	72897488	72897571	84	*	X02473	55164	72798428	72897598	99171	-	0	inside	26	SHQ1
chr3	72937078	72937119	42	*	X02474	727936	72937385	73024522	87138	+	265	upstream	265	GXYLT2
chr3	73045892	73045912	21	*	X02475	151987	73046119	73115011	68893	+	206	upstream	206	PPP4R2
chr3	73045925	73045938	14	*	X02476	151987	73046119	73115011	68893	+	180	upstream	180	PPP4R2
chr3	75834463	75834551	89	*	X02477	100131827	75758794	75834670	75877	-	0	inside	118	ZNF717
chr3	75834569	75834587	19	*	X02478	100131827	75758794	75834670	75877	-	0	inside	82	ZNF717
chr3	75834628	75834709	82	*	X02479	100131827	75758794	75834670	75877	-	0	overlapStart	0	ZNF717
chr3	75834740	75834909	170	*	X02480	100131827	75758794	75834670	75877	-	69	upstream	69	ZNF717
chr3	81810334	81810814	481	*	X02483	2632	81538850	81810950	272101	-	0	inside	135	GBE1
chr3	81810839	81810922	84	*	X02484	2632	81538850	81810950	272101	-	0	inside	27	GBE1
chr3	81810936	81810987	52	*	X02485	2632	81538850	81810950	272101	-	0	overlapStart	0	GBE1
chr3	87276466	87276478	13	*	X02486	100616161	87275339	87275427	89	-	1038	upstream	1038	MIR4795
chr3	87276466	87276478	13	*	X02486	25978	87276413	87304698	28286	+	0	inside	52	CHMP2B
chr3	87276492	87276542	51	*	X02487	100616161	87275339	87275427	89	-	1064	upstream	1064	MIR4795
chr3	87276492	87276542	51	*	X02487	25978	87276413	87304698	28286	+	0	inside	78	CHMP2B
chr3	88198699	88199228	530	*	X02488	285237	88198893	88207115	8223	+	0	overlapStart	0	C3orf38
chr3	88198699	88199228	530	*	X02488	8545	88101100	88199016	97917	-	0	overlapStart	0	CGGBP1
chr3	89156589	89156726	138	*	X02489	2042	89156674	89531284	374611	+	0	overlapStart	0	EPHA3
chr3	89156831	89156871	41	*	X02490	2042	89156674	89531284	374611	+	0	inside	156	EPHA3
chr3	89156903	89156986	84	*	X02491	2042	89156674	89531284	374611	+	0	inside	228	EPHA3
chr3	96533398	96533426	29	*	X02496	285220	96533425	97467786	934362	+	0	overlapStart	0	EPHA6
chr3	97483258	97483469	212	*	X02497	84100	97483595	97519953	36359	+	125	upstream	125	ARL6
chr3	97483493	97483676	184	*	X02498	84100	97483595	97519953	36359	+	0	overlapStart	0	ARL6
chr3	97540837	97541098	262	*	X02499	131544	97540884	97663830	122947	+	0	overlapStart	0	CRYBG3
chr3	98241651	98241774	124	*	X02501	56650	98225321	98241910	16590	-	0	inside	135	CLDND1
chr3	98241918	98241965	48	*	X02502	56650	98225321	98241910	16590	-	7	upstream	7	CLDND1
chr3	98241989	98242008	20	*	X02503	56650	98225321	98241910	16590	-	78	upstream	78	CLDND1
chr3	98312248	98312258	11	*	X02505	1371	98298290	98312455	14166	-	0	inside	196	CPOX
chr3	98312397	98312667	271	*	X02506	1371	98298290	98312455	14166	-	0	overlapStart	0	CPOX
chr3	98312831	98312910	80	*	X02507	1371	98298290	98312455	14166	-	375	upstream	375	CPOX
chr3	99536317	99536335	19	*	X02508	84319	99536678	99897476	360799	+	342	upstream	342	CMSS1
chr3	99536353	99536496	144	*	X02509	84319	99536678	99897476	360799	+	181	upstream	181	CMSS1
chr3	99536789	99536800	12	*	X02510	84319	99536678	99897476	360799	+	0	inside	110	CMSS1
chr3	99979832	99979952	121	*	X02511	55773	99979661	100044096	64436	+	0	inside	170	TBC1D23
chr3	100053599	100053610	12	*	X02512	56954	100053562	100074478	20917	+	0	inside	36	NIT2
chr3	100211203	100211229	27	*	X02513	55076	100211463	100296285	84823	+	233	upstream	233	TMEM45A
chr3	100211681	100211717	37	*	X02514	55076	100211463	100296285	84823	+	0	inside	217	TMEM45A
chr3	101280693	101280723	31	*	X02515	54931	101280680	101285290	4611	+	0	inside	12	TRMT10C
chr3	101280799	101280837	39	*	X02516	54931	101280680	101285290	4611	+	0	inside	118	TRMT10C
chr3	101292411	101292431	21	*	X02517	57092	101293042	101313281	20240	+	610	upstream	610	PCNP
chr3	101292782	101292796	15	*	X02518	57092	101293042	101313281	20240	+	245	upstream	245	PCNP
chr3	101292909	101293100	192	*	X02519	57092	101293042	101313281	20240	+	0	overlapStart	0	PCNP
chr3	101394991	101395024	34	*	X02520	100009676	101395274	101398057	2784	+	249	upstream	249	ZBTB11-AS1
chr3	101395041	101395175	135	*	X02521	100009676	101395274	101398057	2784	+	98	upstream	98	ZBTB11-AS1
chr3	101395244	101395277	34	*	X02522	100009676	101395274	101398057	2784	+	0	overlapStart	0	ZBTB11-AS1
chr3	101395293	101395424	132	*	X02523	100009676	101395274	101398057	2784	+	0	inside	18	ZBTB11-AS1
chr3	101395436	101395489	54	*	X02524	100009676	101395274	101398057	2784	+	0	inside	161	ZBTB11-AS1
chr3	101395892	101395989	98	*	X02525	27107	101368283	101395988	27706	-	0	overlapStart	0	ZBTB11
chr3	105085773	105085786	14	*	X02528	214	105085557	105295757	210201	+	0	inside	215	ALCAM
chr3	107809726	107809829	104	*	X02535	961	107761941	107809935	47995	-	0	inside	105	CD47
chr3	107810405	107810453	49	*	X02536	961	107761941	107809935	47995	-	469	upstream	469	CD47
chr3	107810477	107810790	314	*	X02537	961	107761941	107809935	47995	-	541	upstream	541	CD47
chr3	110790485	110790558	74	*	X02538	100506555	110764163	110788806	24644	-	1678	upstream	1678	NECTIN3-AS1
chr3	110790485	110790558	74	*	X02538	25945	110790606	110913016	122411	+	47	upstream	47	NECTIN3
chr3	111697909	111698012	104	*	X02541	55347	111697723	111712215	14493	+	0	inside	185	ABHD10
chr3	112280524	112281087	564	*	X02542	55032	112280857	112303284	22428	+	0	overlapStart	0	SLC35A5
chr3	112280524	112281087	564	*	X02542	64422	112251357	112280485	29129	-	38	upstream	38	ATG3
chr3	112281178	112281303	126	*	X02543	64422	112251357	112280485	29129	-	692	upstream	692	ATG3
chr3	112281361	112281372	12	*	X02544	64422	112251357	112280485	29129	-	875	upstream	875	ATG3
chr3	112359840	112359864	25	*	X02545	151887	112323409	112359977	36569	-	0	inside	112	CCDC80
chr3	112359912	112360160	249	*	X02546	151887	112323409	112359977	36569	-	0	overlapStart	0	CCDC80
chr3	112709735	112709926	192	*	X02548	29083	112709800	112720221	10422	+	0	overlapStart	0	GTPBP8
chr3	112738152	112738618	467	*	X02550	25871	112721292	112738555	17264	-	0	overlapStart	0	NEPRO
chr3	112930545	112930780	236	*	X02551	91653	112930412	113006305	75894	+	0	inside	132	BOC
chr3	113233552	113233779	228	*	X02553	152185	113161565	113234034	72470	-	0	inside	254	SPICE1
chr3	113233801	113233812	12	*	X02554	152185	113161565	113234034	72470	-	0	inside	221	SPICE1
chr3	113233826	113233900	75	*	X02555	152185	113161565	113234034	72470	-	0	inside	133	SPICE1
chr3	113234017	113234102	86	*	X02556	152185	113161565	113234034	72470	-	0	overlapStart	0	SPICE1
chr3	113464909	113465082	174	*	X02557	523	113465866	113530905	65040	+	783	upstream	783	ATP6V1A
chr3	113464909	113465082	174	*	X02557	80218	113435307	113465120	29814	-	0	inside	37	NAA50
chr3	113465128	113465196	69	*	X02558	523	113465866	113530905	65040	+	669	upstream	669	ATP6V1A
chr3	113465128	113465196	69	*	X02558	80218	113435307	113465120	29814	-	7	upstream	7	NAA50
chr3	119182422	119182670	249	*	X02561	55254	119147807	119182529	34723	-	0	overlapStart	0	TMEM39A
chr3	119182684	119182711	28	*	X02562	55254	119147807	119182529	34723	-	154	upstream	154	TMEM39A
chr3	119187672	119187909	238	*	X02563	56983	119187785	119213554	25770	+	0	overlapStart	0	POGLUT1
chr3	119395985	119395996	12	*	X02564	10063	119388372	119396243	7872	-	0	inside	246	COX17
chr3	119395985	119395996	12	*	X02564	64091	119360908	119396243	35336	-	0	inside	246	POPDC2
chr3	119421789	119421812	24	*	X02565	89876	119421869	119485949	64081	+	56	upstream	56	CFAP91
chr3	119814413	119814584	172	*	X02567	2932	119540802	119813264	272463	-	1148	upstream	1148	GSK3B
chr3	120067718	120068427	710	*	X02570	116064	120043576	120068186	24611	-	0	overlapStart	0	LRRC58
chr3	120460888	120460900	13	*	X02571	2960	120461558	120501916	40359	+	657	upstream	657	GTF2E1
chr3	120460912	120460930	19	*	X02572	2960	120461558	120501916	40359	+	627	upstream	627	GTF2E1
chr3	120460943	120460954	12	*	X02573	2960	120461558	120501916	40359	+	603	upstream	603	GTF2E1
chr3	120626874	120626897	24	*	X02574	9515	120627050	121143608	516559	+	152	upstream	152	STXBP5L
chr3	120626909	120627585	677	*	X02575	9515	120627050	121143608	516559	+	0	overlapStart	0	STXBP5L
chr3	121264857	121264870	14	*	X02576	10721	121150273	121264853	114581	-	3	upstream	3	POLQ
chr3	122102927	122103189	263	*	X02577	131076	122078436	122102074	23639	-	852	upstream	852	MIX23
chr3	122102927	122103189	263	*	X02577	26355	122103023	122128961	25939	+	0	overlapStart	0	FAM162A
chr3	122233596	122233825	230	*	X02578	3836	122140748	122233786	93039	-	0	overlapStart	0	KPNA1
chr3	122233907	122233958	52	*	X02579	3836	122140748	122233786	93039	-	120	upstream	120	KPNA1
chr3	122512651	122512701	51	*	X02582	79663	122458844	122512666	53823	-	0	overlapStart	0	HSPBAP1
chr3	122512651	122512701	51	*	X02582	84925	122513901	122599986	86086	+	1199	upstream	1199	SLC49A4
chr3	122512763	122512780	18	*	X02583	79663	122458844	122512666	53823	-	96	upstream	96	HSPBAP1
chr3	122512763	122512780	18	*	X02583	84925	122513901	122599986	86086	+	1120	upstream	1120	SLC49A4
chr3	122513913	122514111	199	*	X02584	79663	122458844	122512666	53823	-	1246	upstream	1246	HSPBAP1
chr3	122513913	122514111	199	*	X02584	84925	122513901	122599986	86086	+	0	inside	11	SLC49A4
chr3	122785883	122785956	74	*	X02585	10954	122785856	122880953	95098	+	0	inside	26	PDIA5
chr3	123679989	123680017	29	*	X02586	64770	123632274	123680255	47982	-	0	inside	237	CCDC14
chr3	123680034	123680052	19	*	X02587	64770	123632274	123680255	47982	-	0	inside	202	CCDC14
chr3	124449251	124449314	64	*	X02588	7372	124449213	124468119	18907	+	0	inside	37	UMPS
chr3	124606137	124606228	92	*	X02589	3693	124481795	124606144	124350	-	0	overlapStart	0	ITGB5
chr3	125094085	125094392	308	*	X02591	7707	124944513	125094198	149686	-	0	overlapStart	0	ZNF148
chr3	126195056	126195104	49	*	X02596	79364	126156444	126194762	38319	-	293	upstream	293	ZXDC
chr3	127309493	127309543	51	*	X02599	131601	127291907	127309602	17696	-	0	inside	58	TPRA1
chr3	127309877	127309905	29	*	X02600	131601	127291907	127309602	17696	-	274	upstream	274	TPRA1
chr3	127309999	127310012	14	*	X02601	131601	127291907	127309602	17696	-	396	upstream	396	TPRA1
chr3	127310024	127310045	22	*	X02602	131601	127291907	127309602	17696	-	421	upstream	421	TPRA1
chr3	127317215	127317294	80	*	X02603	4171	127317200	127341278	24079	+	0	inside	14	MCM2
